Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20
"(124, 0.32697442690009987)","(268, 0.2876311682449118)","(268, 0.2876311682449118)","(142, 0.44825364213892366)","(268, 0.2876311682449118)","(73, 0.31534351477662986)","(81, 0.46095231822339494)","(268, 0.2876311682449118)","(529, 0.35639263282343514)","(414, 0.5832434499396639)","(69, 0.4465563379023874)","(622, 0.4822601774495948)","(268, 0.2876311682449118)","(268, 0.2876311682449118)","(402, 0.3270587735507368)","(529, 0.36385057888027944)","(21, 0.33767888028901694)","(268, 0.2876311682449118)","(49, 0.4638416627505561)","(268, 0.2876311682449118)"
"(445, 0.2785148638223056)","(609, 0.21173293334109716)","(609, 0.21173293334109716)","(586, 0.4274389737188808)","(609, 0.21173293334109716)","(240, 0.2926370150318989)","(622, 0.4194080365431928)","(609, 0.21173293334109716)","(253, 0.3442917573078773)","(402, 0.5704964107572159)","(516, 0.41985426865277026)","(438, 0.44301245742704043)","(609, 0.21173293334109716)","(609, 0.21173293334109716)","(324, 0.32592947186896654)","(228, 0.31896913150942974)","(321, 0.30444174475713454)","(609, 0.21173293334109716)","(586, 0.43374989682438253)","(609, 0.21173293334109716)"
"(142, 0.27461613803306195)","(70, 0.2052133032783789)","(70, 0.2052133032783789)","(112, 0.41665850419268885)","(70, 0.2052133032783789)","(33, 0.2813687642332688)","(295, 0.388684381497646)","(70, 0.2052133032783789)","(228, 0.3178441797474934)","(544, 0.5670917563717862)","(296, 0.39666018817850024)","(414, 0.43510480306165894)","(70, 0.2052133032783789)","(70, 0.2052133032783789)","(313, 0.2991535361456063)","(220, 0.31488790662417265)","(69, 0.3032273129888105)","(70, 0.2052133032783789)","(645, 0.4285476747298543)","(70, 0.2052133032783789)"
"(492, 0.26838053622264585)","(662, 0.1993128418459626)","(662, 0.1993128418459626)","(49, 0.4087921702996411)","(662, 0.1993128418459626)","(668, 0.27444493270006165)","(550, 0.34305005085454116)","(662, 0.1993128418459626)","(81, 0.31297091678859446)","(166, 0.5266896578776303)","(42, 0.37648169142984456)","(544, 0.41378693769084585)","(662, 0.1993128418459626)","(662, 0.1993128418459626)","(622, 0.2916580231405758)","(306, 0.29997664276471747)","(24, 0.28182986728106635)","(662, 0.1993128418459626)","(123, 0.4126415581471003)","(662, 0.1993128418459626)"
"(668, 0.26314048673851004)","(129, 0.19010349681557004)","(129, 0.19010349681557004)","(642, 0.3874286996670772)","(129, 0.19010349681557004)","(140, 0.2718751071415698)","(313, 0.34108911391763064)","(129, 0.19010349681557004)","(630, 0.31291152287661467)","(24, 0.49835634281450947)","(248, 0.36527557380742953)","(207, 0.3996660495330024)","(129, 0.19010349681557004)","(129, 0.19010349681557004)","(35, 0.2854237540383356)","(253, 0.2911504514208278)","(248, 0.2796874987889304)","(129, 0.19010349681557004)","(310, 0.40148599665703294)","(129, 0.19010349681557004)"
"(145, 0.2615952136559705)","(163, 0.18637099888592115)","(163, 0.18637099888592115)","(116, 0.37988803145144867)","(163, 0.18637099888592115)","(193, 0.25789843505432825)","(45, 0.339795266427995)","(163, 0.18637099888592115)","(474, 0.3114191322013512)","(438, 0.47790356532237227)","(132, 0.35749854578892076)","(486, 0.3989483826952369)","(163, 0.18637099888592115)","(163, 0.18637099888592115)","(414, 0.28443298605356576)","(548, 0.2882594188163657)","(402, 0.2766125513334511)","(163, 0.18637099888592115)","(321, 0.3819811154168275)","(163, 0.18637099888592115)"
"(92, 0.2513529839745952)","(103, 0.1842624344581495)","(103, 0.1842624344581495)","(321, 0.37846740626317155)","(103, 0.1842624344581495)","(132, 0.2555769921820427)","(50, 0.3015399919618184)","(103, 0.1842624344581495)","(306, 0.28894053346671084)","(313, 0.4764259267990244)","(644, 0.34566501091900437)","(24, 0.3911925798602566)","(103, 0.1842624344581495)","(103, 0.1842624344581495)","(605, 0.28360102172276724)","(499, 0.28641250169877297)","(252, 0.27447991860253723)","(103, 0.1842624344581495)","(112, 0.38090848042847825)","(103, 0.1842624344581495)"
"(299, 0.24932941604519537)","(149, 0.1531589342518036)","(149, 0.1531589342518036)","(310, 0.37465384580763206)","(149, 0.1531589342518036)","(94, 0.25438932207143194)","(253, 0.2937892017962239)","(149, 0.1531589342518036)","(147, 0.28418009548787226)","(133, 0.4682793200720485)","(535, 0.33302011617802063)","(550, 0.3905171820160036)","(149, 0.1531589342518036)","(149, 0.1531589342518036)","(626, 0.27921704570308276)","(630, 0.28524341161779526)","(387, 0.27302872505209247)","(149, 0.1531589342518036)","(647, 0.3802063681446166)","(149, 0.1531589342518036)"
"(583, 0.24616505336115602)","(319, 0.15146219488961363)","(319, 0.15146219488961363)","(445, 0.3729186058606382)","(319, 0.15146219488961363)","(517, 0.25192575757884006)","(207, 0.292468465889743)","(319, 0.15146219488961363)","(550, 0.2827271408391777)","(400, 0.45815297794867943)","(668, 0.33081947951781504)","(166, 0.3897804744724766)","(319, 0.15146219488961363)","(319, 0.15146219488961363)","(45, 0.2787263058060767)","(549, 0.28192321274863763)","(516, 0.270758242313455)","(319, 0.15146219488961363)","(642, 0.37644676836024743)","(319, 0.15146219488961363)"
"(202, 0.24289408252677736)","(35, 0.15107949585868694)","(35, 0.15107949585868694)","(677, 0.3630673136635261)","(35, 0.15107949585868694)","(456, 0.24463450124973032)","(122, 0.29076641850051516)","(35, 0.15107949585868694)","(302, 0.2744374847399423)","(578, 0.44955598586799517)","(321, 0.3307038749512999)","(427, 0.3852955947539363)","(35, 0.15107949585868694)","(35, 0.15107949585868694)","(427, 0.2787215103662532)","(81, 0.2812622193856066)","(534, 0.2706119639129456)","(35, 0.15107949585868694)","(291, 0.3714380424601227)","(35, 0.15107949585868694)"
