Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18
"(608, 0.3022852414027141)","(507, 0.2941745241269155)","(26, 0.29325863872586644)","(160, 0.34925311494320155)","(612, 0.35823657027067685)","(387, 0.3868673592298276)","(475, 0.41443711017942203)","(495, 0.3621339499200492)","(604, 0.4124709808515489)","(475, 0.2743738061453957)","(475, 0.18157737825400683)","(261, 0.29773353590775853)","(181, 0.3504843233038737)","(389, 0.28878103541325845)","(537, 0.3245437636571851)","(638, 0.26775896107855557)","(475, 0.2710923546943941)","(507, 0.29338978283655753)"
"(21, 0.29662124855579364)","(21, 0.2718972584371965)","(222, 0.2843378098617483)","(616, 0.31377851622021724)","(667, 0.3519846415103798)","(134, 0.34144824778049865)","(638, 0.3600076059597748)","(496, 0.3575988733530157)","(160, 0.40729030563515484)","(604, 0.24332001962537816)","(445, 0.1781120452145474)","(428, 0.24981534656115167)","(645, 0.32025022749959653)","(667, 0.2371512932889138)","(302, 0.2740402587910294)","(635, 0.2622292082307512)","(387, 0.2599538118686337)","(524, 0.26530782904278033)"
"(586, 0.29597496834813053)","(263, 0.26669298318954887)","(21, 0.27107771216419796)","(161, 0.28456176539652706)","(227, 0.34516179988460904)","(160, 0.3341324692267071)","(387, 0.32909466361369916)","(638, 0.33822246857833355)","(327, 0.35981390825096154)","(287, 0.21952349502505317)","(517, 0.1678218345205804)","(497, 0.24539160685666775)","(667, 0.3150578024867258)","(40, 0.23001743138771297)","(13, 0.2733917129530378)","(653, 0.2291018043183434)","(181, 0.2570959120509804)","(139, 0.26470369135021493)"
"(40, 0.27312086013814446)","(180, 0.26210616293564487)","(139, 0.2611918292851655)","(592, 0.28396585259201634)","(445, 0.3140019265814907)","(604, 0.3327522266790425)","(635, 0.31886595970894094)","(41, 0.3257608061945324)","(594, 0.34357647627241084)","(290, 0.21413268746709693)","(535, 0.16647498610932115)","(412, 0.24131593538194154)","(445, 0.2949176816126882)","(21, 0.22403393280801606)","(27, 0.2675434704592585)","(622, 0.20377037325905126)","(122, 0.24996629133101048)","(473, 0.25878792521453253)"
"(612, 0.27028324534671067)","(122, 0.25895643300759874)","(53, 0.25070821314732133)","(326, 0.2817325769070779)","(178, 0.3104140557005788)","(287, 0.3305414848714827)","(445, 0.3187516966837598)","(23, 0.3252971949440972)","(326, 0.341214419082906)","(493, 0.21016313802783249)","(383, 0.1650060962755901)","(164, 0.24086409249601284)","(227, 0.2689911771842354)","(445, 0.20881435689963848)","(122, 0.2585308484903655)","(209, 0.16012126165223367)","(110, 0.23718552479561367)","(564, 0.2555471917471505)"
"(529, 0.26814539150443406)","(402, 0.25734884246563516)","(564, 0.24839462327357492)","(425, 0.27907549184506397)","(638, 0.28479833125876297)","(290, 0.3154797156563327)","(653, 0.31474881532999904)","(517, 0.3183242712259815)","(167, 0.33924936792548993)","(412, 0.20289286514024843)","(667, 0.1638260154049576)","(429, 0.24047223602985524)","(49, 0.2579139582679055)","(181, 0.20506175023065126)","(407, 0.2563921305046358)","(231, 0.15556933837241313)","(457, 0.23555267495541543)","(222, 0.25081069591606286)"
"(222, 0.25910172022149014)","(222, 0.25113616198911515)","(462, 0.243623144457499)","(327, 0.2741996821087401)","(653, 0.2667555650902493)","(478, 0.3050965699973378)","(181, 0.3070139063953388)","(521, 0.31699026622992554)","(568, 0.33796700421054493)","(668, 0.18742773232827029)","(174, 0.16256349984133558)","(577, 0.22261548960609787)","(68, 0.2519588315163811)","(645, 0.19843243607869573)","(387, 0.23886419346272586)","(244, 0.15245976708027642)","(463, 0.2340952063066853)","(200, 0.2480354547958686)"
"(507, 0.2579239316090692)","(53, 0.25088667764371686)","(619, 0.24314757171072052)","(618, 0.262650512431275)","(635, 0.26459049835636883)","(493, 0.3050341715846885)","(535, 0.3051464597488104)","(635, 0.3099636894649827)","(161, 0.33736453288135043)","(134, 0.1805244400794565)","(181, 0.1508016908322678)","(550, 0.2179181426231009)","(23, 0.22398781845604915)","(227, 0.18844622496500127)","(143, 0.23749691704775722)","(447, 0.15240898040775228)","(25, 0.23293124189214642)","(558, 0.24426929322675078)"
"(53, 0.2456440395041552)","(528, 0.2493104095362894)","(385, 0.24086028795617045)","(604, 0.2605886663656294)","(645, 0.26262236765030494)","(475, 0.3049333245086622)","(174, 0.2945391107051854)","(231, 0.3086812434665639)","(643, 0.3269687848110225)","(383, 0.17844611098110214)","(537, 0.14849365167963235)","(287, 0.20928601888226736)","(517, 0.22289919009858156)","(111, 0.17738045883047496)","(475, 0.23739698521351793)","(517, 0.13740558890125465)","(151, 0.22976676314292813)","(529, 0.23699102942439637)"
"(385, 0.2398037447294566)","(385, 0.24204236713675364)","(529, 0.23724482963872506)","(674, 0.25281338055196567)","(134, 0.2540191540709108)","(572, 0.2946233683144215)","(383, 0.28991928357687213)","(653, 0.3026600962269119)","(616, 0.3255307603560135)","(633, 0.17500912136200672)","(638, 0.14671129299589708)","(604, 0.20865082647432656)","(310, 0.2205106414576478)","(661, 0.17551046053760994)","(293, 0.23544887370152942)","(416, 0.13404451412879984)","(555, 0.22584269602683293)","(21, 0.23662261423922376)"
