Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9
"(442, 0.3605203135919807)","(442, 0.38855708604154104)","(442, 0.3219657954481386)","(69, 0.366848619274236)","(35, 0.5436630527445759)","(384, 0.3888294272607783)","(464, 0.2968002758244981)","(470, 0.5112649431792852)","(470, 0.3776480768220917)"
"(438, 0.3523408927243614)","(438, 0.38553877239595596)","(656, 0.28423986871372775)","(25, 0.32396251342006377)","(120, 0.47996182956970834)","(388, 0.38219439218164747)","(461, 0.2850141216373465)","(640, 0.5112649431792852)","(606, 0.3776480768220917)"
"(656, 0.29840476913456326)","(384, 0.3664946831412696)","(438, 0.27206596317846654)","(164, 0.297012848111679)","(112, 0.4768240402105706)","(383, 0.3476567862907344)","(195, 0.27516428170761115)","(89, 0.5112649431792852)","(640, 0.3776480768220917)"
"(161, 0.29514092003152476)","(445, 0.29748026317549214)","(186, 0.25985912180376153)","(88, 0.2956369146930248)","(324, 0.4516993018050824)","(188, 0.33251169155998644)","(13, 0.26535302296179936)","(606, 0.5112649431792851)","(671, 0.3776480768220917)"
"(384, 0.2930807054321686)","(402, 0.2883477793841279)","(668, 0.2546875716963048)","(442, 0.29249210430212286)","(325, 0.3844278312762693)","(139, 0.3220630726482385)","(558, 0.2514746103047697)","(671, 0.5112649431792851)","(89, 0.37764807682209167)"
"(52, 0.2780214492909889)","(447, 0.2818001137862002)","(185, 0.24246033678600884)","(620, 0.2864332841420923)","(502, 0.38442783127626917)","(650, 0.3220630726482385)","(588, 0.24637409667597163)","(440, 0.49599985021261267)","(32, 0.3721565923937263)"
"(516, 0.2752271929525582)","(52, 0.2786881946562781)","(511, 0.2403870289165902)","(35, 0.28469300540049924)","(505, 0.37108588185174285)","(441, 0.31244707450344983)","(104, 0.2446837224119649)","(538, 0.4959998502126126)","(642, 0.3688809353107256)"
"(186, 0.257977839703504)","(672, 0.27862061274953104)","(445, 0.24010517341060775)","(47, 0.2711145122353592)","(134, 0.3409240142169849)","(672, 0.31160358123525994)","(226, 0.23890341145539215)","(677, 0.4943880878875903)","(440, 0.3663724494232604)"
"(445, 0.2570468839089059)","(516, 0.27588723718932723)","(52, 0.23747870568212978)","(438, 0.2664910619913785)","(669, 0.31941582248816064)","(668, 0.309679204901198)","(124, 0.23147209382338582)","(522, 0.49038544952047036)","(538, 0.3663724494232603)"
"(447, 0.2546617005468454)","(444, 0.2502388489433118)","(516, 0.23509192444533367)","(386, 0.26405454471058154)","(327, 0.3098631646777228)","(386, 0.30333634534369225)","(237, 0.22665994003018416)","(517, 0.4850285124729327)","(641, 0.35988471089637447)"
