Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11
"(565, 0.5999792817277295)","(565, 0.4511196274736778)","(279, 0.6370059691336335)","(107, 0.46692757636598914)","(162, 0.34478339155347165)","(656, 0.3973459956911559)","(625, 0.367155535591556)","(4, 0.35773794331072095)","(221, 0.27573148965950584)","(36, 0.28488787686175476)","(4, 0.3156678708411632)"
"(625, 0.5933117790661532)","(63, 0.4467307022240851)","(548, 0.6084653375440873)","(77, 0.41004856719323585)","(97, 0.3416962708895213)","(186, 0.38198549705000734)","(40, 0.3531751240199358)","(625, 0.30418912556079)","(446, 0.2734843508381219)","(12, 0.2792530682695683)","(204, 0.2742548416212931)"
"(456, 0.5854203284956168)","(631, 0.44489187981524086)","(167, 0.5888344917304371)","(12, 0.4012609093026804)","(568, 0.31881225962836796)","(185, 0.3591878127240445)","(624, 0.34181726329222256)","(476, 0.29149443013388115)","(518, 0.24219637380614806)","(393, 0.27413219047481924)","(407, 0.2674702375824425)"
"(199, 0.5788177540308413)","(630, 0.4316085205783143)","(543, 0.5777409352884759)","(429, 0.3652385890969033)","(625, 0.3063594297570391)","(531, 0.3585222754107866)","(664, 0.33642534482265574)","(63, 0.2836715872880324)","(452, 0.21436482516885483)","(96, 0.27413219047481924)","(137, 0.25832846694578565)"
"(40, 0.5621212190817053)","(4, 0.398610310465014)","(535, 0.5580668986997126)","(545, 0.36523858909690327)","(622, 0.30458101578876406)","(532, 0.33093080391846624)","(457, 0.32501107690685527)","(631, 0.26532095662610344)","(78, 0.2084424397002268)","(2, 0.2741321904748192)","(247, 0.2583060023602653)"
"(4, 0.5612264426252727)","(389, 0.3962274726993416)","(199, 0.5458878483738978)","(23, 0.36322228981399346)","(621, 0.3034463968225541)","(668, 0.30214187057402275)","(456, 0.31663898752171865)","(608, 0.2647676330042636)","(199, 0.20186539221085253)","(77, 0.26828958808780656)","(599, 0.2554052216062966)"
"(457, 0.5535996623790932)","(199, 0.38929493123021713)","(551, 0.5310277093083869)","(200, 0.33570723393922625)","(628, 0.2724173750913042)","(649, 0.24940439474025292)","(607, 0.30671077929503504)","(630, 0.2573991362021992)","(568, 0.19801297907781226)","(81, 0.2601274895234599)","(51, 0.25471013476136717)"
"(576, 0.5377099035470816)","(77, 0.3861286018297623)","(642, 0.5252190320804326)","(61, 0.3325009677895595)","(547, 0.2627495888188783)","(579, 0.23590491987609372)","(667, 0.294045536776731)","(612, 0.24341997659397194)","(535, 0.1978988125629122)","(458, 0.24955329478130028)","(149, 0.25369348593684504)"
"(631, 0.5341898444315943)","(653, 0.37658947785495894)","(323, 0.5028589388233519)","(389, 0.32450251541231606)","(135, 0.26247666910017203)","(456, 0.20732074271139492)","(621, 0.2932544996744976)","(458, 0.24045326481583879)","(520, 0.19616804149261835)","(471, 0.24519128508904645)","(625, 0.25250814798075594)"
"(63, 0.5251223580166188)","(635, 0.3753900054616837)","(522, 0.49488713170671184)","(36, 0.32355069344920634)","(631, 0.2534767713769284)","(178, 0.20199071138286498)","(616, 0.2924372537761776)","(565, 0.23863975769515322)","(326, 0.19552722212374946)","(466, 0.2413574202544096)","(87, 0.24010148351438731)"
"(630, 0.5182402712291129)","(209, 0.3742733559727806)","(635, 0.4934851240782319)","(635, 0.31306164779734563)","(497, 0.2496671024404065)","(40, 0.18595345916512795)","(666, 0.2716276316992859)","(624, 0.23737161443485916)","(151, 0.1945572396189047)","(665, 0.23842811646668263)","(10, 0.23348248003898253)"
"(664, 0.5154264876779557)","(12, 0.3741732151059217)","(89, 0.4911578336719042)","(475, 0.31199636903945943)","(630, 0.24590858871238)","(625, 0.18324184080093267)","(622, 0.27109658987816226)","(500, 0.23489715322154445)","(279, 0.19086932993418906)","(622, 0.23600116789966075)","(66, 0.2305149687548568)"
"(653, 0.5059678990411152)","(107, 0.374003019830272)","(544, 0.4882802095898879)","(151, 0.3034209208833644)","(4, 0.24278039940234591)","(674, 0.17954605352581862)","(611, 0.26723661908901714)","(15, 0.23482443356669327)","(103, 0.18981983951635972)","(621, 0.231581129302959)","(50, 0.2289156760444465)"
"(645, 0.4996296381261081)","(545, 0.3699566099014909)","(510, 0.4865456385319574)","(476, 0.2965170389202754)","(612, 0.24081263347445916)","(608, 0.17741304120516938)","(608, 0.2645631818381971)","(576, 0.23114235382534998)","(167, 0.18126498414607417)","(528, 0.23018412796778492)","(385, 0.2280427837732781)"
"(633, 0.489715835750123)","(429, 0.3699566099014908)","(452, 0.4807095152577975)","(108, 0.29203572831126895)","(457, 0.23930319924023352)","(645, 0.17503920240257398)","(605, 0.26146876916723955)","(674, 0.23111123496748284)","(572, 0.18080852973139883)","(181, 0.2272089415680384)","(63, 0.2257575737155838)"
"(612, 0.480060982937563)","(61, 0.36306644993501347)","(47, 0.4803614016768165)","(230, 0.28193871013801125)","(63, 0.23898019188519767)","(457, 0.17501808115556156)","(645, 0.25725930060935237)","(40, 0.23012611646853798)","(565, 0.17768690736160098)","(103, 0.22399981560564622)","(666, 0.2221512551660307)"
